season,date,tournament,level,classification,classification_evidence,round,surface,home_player,away_player,home_player_id,away_player_id,winner_code,home_set_score,away_set_score,source,match_key
2021,2021-06-08,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Bonaventure Y.,Rus A.,759920,342785,2.0,0.0,2.0,TennisData.app,9d0387cc5e2d03a004b06f40
2021,2021-06-08,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Errani S.,Fett J.,441079,591336,1.0,2.0,0.0,TennisData.app,56acbed60f564c983848d26e
2021,2021-06-08,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Galfi D.,Zavatska K.,425404,350354,2.0,0.0,2.0,TennisData.app,aa5ac30c5caeb01b18a30fb4
2021,2021-06-08,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Gorgodze E.,Liu C.,896973,737156,2.0,1.0,2.0,TennisData.app,7fc2b112086723e70d3d7c5f
2021,2021-06-08,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Kawa K.,Bara I.,866608,710939,2.0,1.0,2.0,TennisData.app,2fd8e7981a0991c30c7ca4de
2021,2021-06-08,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Mrdeza T.,Babos T.,411769,556756,1.0,2.0,0.0,TennisData.app,0c9cfb79275a3870ae77e72c
2021,2021-06-08,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Parrizas-Diaz N.,Kucova K.,457861,601584,2.0,1.0,2.0,TennisData.app,9a863abe33d1e5ddf38d0461
2021,2021-06-08,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Sun L.,Govortsova O.,460138,261026,2.0,0.0,2.0,TennisData.app,f547b9858a5bfd81a6a9a97e
2021,2021-06-08,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Zarazua R.,Trevisan M.,988957,357952,2.0,0.0,2.0,TennisData.app,85ccadb57617c5a3fd95f9bd
2021,2021-06-09,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/8-finals,clay,Blinkova A.,Ignatik A.,126226,811222,1.0,2.0,0.0,TennisData.app,29bbada658b5e7217372a150
2021,2021-06-09,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/8-finals,clay,Errani S.,Liu C.,441079,737156,2.0,1.0,2.0,TennisData.app,679ae747ff303abb7781dfe1
2021,2021-06-09,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/8-finals,clay,Haas B.,Samsonova L.,684536,286370,1.0,2.0,0.0,TennisData.app,82f355310a6c9b6fd4871add
