y,d,e,r,s,h,a,w,hs,as,tt
2022,20220923,27,6,0,192862,897792,2,1,1,4
2022,20220924,27,3,0,897792,293685,2,1,2,4
2022,20221016,158,4,2,303568,923407,2,0,2,4
2022,20221016,158,4,2,443315,673787,2,1,2,4
2022,20221016,158,4,2,243915,312022,1,2,0,4
2022,20221016,158,4,2,520895,967200,1,2,0,4
2022,20221017,157,1,2,805782,656660,1,2,0,4
2022,20221017,157,1,2,923407,293685,2,0,2,4
2022,20221017,157,1,2,323630,425404,1,2,0,4
2022,20221017,157,1,2,254901,152800,1,2,0,4
2022,20221017,157,1,2,192862,520895,2,0,2,4
2022,20221017,157,1,2,673787,253469,1,2,0,4
2022,20221018,157,1,2,480371,165732,1,2,0,4
2022,20221018,157,1,2,443315,813190,1,2,1,4
2022,20221018,157,1,2,897792,330724,1,2,0,4
2022,20221018,157,1,2,141528,973113,2,0,2,4
2022,20221018,157,1,2,944663,671871,1,2,1,4
2022,20221018,157,1,2,615273,441079,1,2,1,4
2022,20221019,157,2,2,293685,323630,2,0,2,4
2022,20221019,157,1,2,303568,988932,2,0,2,4
2022,20221019,157,1,2,126226,568609,2,0,2,4
2022,20221019,157,2,2,520895,254901,1,2,0,4
2022,20221019,157,1,2,885728,826019,2,0,2,4
2022,20221019,157,1,2,344636,537908,1,2,1,4
2022,20221019,157,2,2,805782,480371,2,1,2,4
2022,20221020,157,2,2,673787,988932,2,0,2,4
2022,20221020,157,2,2,568609,944663,1,2,1,4
2022,20221020,157,2,2,615273,973113,1,2,0,4
2022,20221020,157,2,2,826019,344636,1,2,1,4
2022,20221020,157,2,2,897792,443315,2,1,2,4
2022,20221021,157,5,2,480371,988932,2,0,2,4
2022,20221021,157,5,2,443315,323630,2,0,2,4
2022,20221021,157,5,2,826019,568609,2,0,2,4
2022,20221021,157,5,2,615273,520895,1,2,1,4
2022,20221022,157,6,2,988932,323630,1,2,0,4
2022,20221022,157,6,2,615273,568609,1,2,1,4
2022,20221022,177,4,2,601420,405670,2,1,1,4
2022,20221022,177,4,2,659115,651561,2,0,2,4
2022,20221022,177,4,2,632004,137412,2,0,2,4
2022,20221022,177,4,2,314232,613515,2,0,2,4
2022,20221023,157,3,2,988932,615273,2,0,2,4
2022,20221023,177,4,2,766060,405670,1,2,0,4
2022,20221023,177,4,2,460138,137412,2,1,1,4
2022,20221023,177,4,2,555385,651561,1,2,0,4
2022,20221024,176,1,2,115828,233310,2,1,2,4
2022,20221024,176,1,2,613515,684064,2,0,2,4
2022,20221024,176,1,2,759919,675084,2,0,2,4
2022,20221024,176,1,2,878209,909013,1,2,0,4
2022,20221024,176,1,2,555385,362890,2,1,2,4
2022,20221025,176,1,2,400866,121013,2,0,2,4
2022,20221025,176,1,2,769396,615524,1,2,1,4
2022,20221025,176,1,2,809758,766060,1,2,0,4
2022,20221025,176,1,2,510565,346262,1,2,1,4
2022,20221025,176,1,2,663060,344482,2,0,2,4
2022,20221025,176,1,2,482165,804248,1,2,0,4
2022,20221025,176,1,2,272544,369605,2,0,2,4
2022,20221025,176,1,2,701534,137412,1,2,0,4
2022,20221026,176,1,2,988957,485516,1,2,1,4
2022,20221026,176,1,2,323630,328017,1,2,0,4
2022,20221026,176,1,2,914953,937315,1,2,0,4
2022,20221026,176,2,2,769396,233310,1,2,0,4
2022,20221026,176,2,2,121013,369605,1,2,1,4
2022,20221026,176,2,2,510565,323630,1,2,0,4
2022,20221026,176,2,2,482165,675084,2,1,2,4
2022,20221026,176,2,2,988957,684064,2,0,2,4
2022,20221027,176,2,2,914953,878209,1,2,0,4
2022,20221027,176,2,2,809758,701534,1,2,1,4
2022,20221027,176,2,2,362890,344482,2,0,2,4
2022,20221027,176,5,2,809758,684064,2,0,2,4
2022,20221027,176,5,2,510565,344482,1,2,0,4
2022,20221028,176,5,2,914953,675084,2,0,2,4
2022,20221028,176,5,2,769396,121013,2,1,2,4
2022,20221029,176,6,2,510565,121013,2,0,2,4
2022,20221029,176,6,2,684064,675084,1,2,1,4
2022,20221030,176,3,2,684064,121013,2,1,2,4
2022,20221030,114,4,2,237771,826437,1,2,1,4
2022,20221030,114,4,2,791769,703969,2,0,2,4
2022,20221030,114,4,2,322624,451842,2,1,2,4
2022,20221030,114,4,2,622836,242760,1,2,0,4
2022,20221030,114,4,2,425446,155404,1,2,0,4
2022,20221030,114,4,2,766060,449857,1,2,0,4
2022,20221030,114,4,2,530449,735911,2,0,2,4
2022,20221030,114,4,2,498997,673298,2,0,2,4
2022,20221031,114,4,2,622836,451842,2,0,2,4
2022,20221031,114,4,2,237771,703969,1,2,0,4
2022,20221031,114,4,2,425446,735911,2,0,2,4
2022,20221031,114,4,2,766060,673298,1,2,1,4
2022,20221031,113,1,2,619460,323630,1,2,1,4
2022,20221031,113,1,2,936231,510565,2,0,2,4
